시도,시군구,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,총주차대수,지상주차대수,지하주차대수
용인시,수지구,동천동,A44874405,동문그린,아파트,경기도 용인수지구 동천동 400-1 동문그린,경기도 용인시 수지구 고기로45번길 58,19981114,1,227,227.0,107.0,120.0
용인시,수지구,풍덕천동,A44876808,수지한성,아파트,경기도 용인수지구 풍덕천동 698-2 수지한성,경기도 용인시 수지구 문정로 55,19950328,10,774,356.0,356.0,0.0
용인시,수지구,상현동,A44813006,수지금호베스트빌5단지,아파트,경기도 용인수지구 상현동 867 수지금호베스트빌5단지,경기도 용인시 수지구 심곡로 16,20021204,11,890,1367.0,376.0,991.0
용인시,기흥구,상하동,A44677303,용인대우,아파트,경기도 용인기흥구 상하동 296 용인대우,경기도 용인시 기흥구 중부대로 735,19970509,4,432,325.0,142.0,183.0
용인시,기흥구,마북동,A44691210,교동마을신창아파트,아파트,경기도 용인기흥구 마북동 143 교동마을신창아파트,경기도 용인시 기흥구 마북로 186,19961223,4,490,297.0,73.0,224.0
용인시,기흥구,마북동,A44677101,마북e편한세상,아파트,경기도 용인기흥구 마북동 636 마북e편한세상,경기도 용인시 기흥구 마북로 210,20091001,8,404,584.0,40.0,544.0
용인시,기흥구,신갈동,A10026093,용인기흥 우방아이유쉘 아파트,아파트,경기도 용인기흥구 신갈동 407 용인기흥 우방아이유쉘 아파트,경기도 용인시 기흥구 신정로41번길 31,20180823,7,400,434.0,89.0,345.0
용인시,수지구,성복동,A10025987,성복역서희스타힐스,주상복합,경기도 용인수지구 성복동 168-10 성복역서희스타힐스,경기도 용인시 수지구 성복1로 80,20180921,2,174,210.0,0.0,210.0
용인시,수지구,성복동,A44898209,성복힐스테이트1차,아파트,경기도 용인수지구 성복동 771 성복힐스테이트1차,경기도 용인시 수지구 성복1로 91,20110701,12,645,1304.0,157.0,1147.0
용인시,수지구,성복동,A44853005,벽산첼시빌2,아파트,경기도 용인수지구 성복동 723 벽산첼시빌2,경기도 용인시 수지구 성복1로 107,20021031,14,951,2029.0,315.0,1714.0
용인시,기흥구,동백동,A44674909,백현마을서해그랑블,아파트,경기도 용인기흥구 동백동 579 백현마을서해그랑블,경기도 용인시 기흥구 동백8로 89,20060420,8,482,530.0,102.0,428.0
용인시,기흥구,동백동,A44672016,백현마을모아미래도1단지,아파트,경기도 용인기흥구 동백동 599 백현마을모아미래도1단지,경기도 용인시 기흥구 동백8로 90,20060227,10,838,1105.0,853.0,252.0
용인시,기흥구,동백동,A44674813,백현마을주공7단지,아파트,경기도 용인기흥구 동백동 581 백현마을주공7단지,경기도 용인시 기흥구 동백8로 103,20060323,6,561,572.0,237.0,335.0
용인시,기흥구,동백동,A44672003,백현마을모아미래도2단지,아파트,경기도 용인기흥구 동백동 593 백현마을모아미래도2단지,경기도 용인시 기흥구 동백8로 126,20060227,5,336,342.0,155.0,187.0
용인시,수지구,죽전동,A44816014,도담마을9단지죽전파크빌,아파트,경기도 용인수지구 죽전동 339 도담마을9단지죽전파크빌,경기도 용인시 수지구 정든로 22,19970614,5,561,440.0,200.0,240.0
