,지명,도로명�,위도,경도,활동지�,행정동,NUMPOINTS,chr_count,np_scaled,count * 활동지가중치,scaled_cnt*가중치,읍면동scaled,활동지시설최종수요지수
170,수지아르피아(죽전2동),,37.32613651,127.1059081,주차장,죽전2동,5694.902226248782,2,0.37012871707081685,0.4003154444056909,0.2469606409768413,0.3107770339797813,0.5577376749566226
376,석현초등학교,경기도 용인시 기흥구 흥덕3로 42,37.27278759,127.0830481,학교,영덕1동,3353.832,0,0.21797556588583009,0.16714437859524103,0.10311389043417518,0.44921551979837476,0.55232941023255
414,흥덕중학교,경기도 용인시 기흥구 흥덕중앙로105번길 10,37.27678653,127.0797285,학교,영덕1동,3328.5920155501185,5,0.21633514385711414,0.16588649760518875,0.10233788466193454,0.44921551979837476,0.5515534044603093
7,남사도서관,경기도 용인시 처인구 남사면 한숲로 61,37.15380506,127.1706227,공공기관,남사읍,338.6489938594237,1,0.02200981029257723,0.03709194259142523,0.02288257933953535,0.528070613067289,0.5509531924068243
369,남사초등학교,경기도 용인시 처인구 남사면 처인성로185번길 9-10,37.11363859,127.1482825,학교,남사읍,709.511,0,0.046113240534177376,0.035359784032559786,0.021813984575208917,0.528070613067289,0.5498845976424979
383,흥덕고등학교,경기도 용인시 기흥구 흥덕2로 36,37.27075758,127.0744587,학교,영덕1동,3265.275,0,0.21221998176946663,0.16273097782404594,0.10039119687195167,0.44921551979837476,0.5496067166703265
232,기아자동차(주)인재개발원,경기도 용인시 처인구 남사면 처인성로 57,37.11025911,127.1380466,직장,남사읍,510.3995741553866,1,0.03317239384811376,0.032791727033463273,0.02022971144404485,0.528070613067289,0.5483003245113338
224,STX엔진(주)용인사업장,경기도 용인시 기흥구 구성로 288,37.28951772,127.1406558,직장,구성동,671.67,0,0.04365384084191918,0.04315289512733978,0.026621672457518463,0.5146254709459965,0.541247143403515
275,(주)대우일렉트로닉스,경기도 용인시 처인구 남사면 경기동로 8,37.14772411,127.1304928,직장,남사읍,319.636,0,0.020774098994071018,0.020535707694139056,0.012668788091817963,0.528070613067289,0.5407394011591069
497,남곡초등학교남곡분교장,경기도 용인시 처인구 남사면 남산로 7,37.14041486,127.1667573,학교,남사읍,374.288,0,0.02432609582241316,0.018653330034317635,0.011507520896343814,0.528070613067289,0.5395781339636327
382,초당고등학교,경기도 용인시 기흥구 동백중앙로 21,37.25869538,127.1632171,학교,동백2동,2036.0998342910398,1,0.13233221389134406,0.10147277548799374,0.06260008707237825,0.47620104160716165,0.5388011286795399
367,보라고등학교,경기도 용인시 기흥구 한보라1로43번길 7,37.25145551,127.1105881,학교,보라동,2784.408,0,0.18096699818507078,0.13876608754273256,0.08560689427378618,0.4504807234832395,0.5360876177570256
347,남사중학교,경기도 용인시 처인구 남사면 내기로 27,37.1165576,127.1487791,학교,남사읍,210.257,0,0.01366523086322063,0.010478543829953196,0.006464371877010646,0.528070613067289,0.5345349849442996
237,(주)태준제약,경기도 용인시 처인구 남사면 경기동로 109-30,37.14795089,127.1372694,직장,남사읍,132.684,0,0.00862352973672965,0.00852457119876718,0.005258936662875191,0.528070613067289,0.5333295497301642
484,처인고등학교,경기도 용인시 처인구 남사읍 한숲로 32,37.15094825,127.1705633,학교,남사읍,105.20900375918403,1,0.006837847611535868,0.005243283967698201,0.0032346610343968415,0.528070613067289,0.5313052741016858
143,신봉동,경기도 용인시 수지구 수지로 215,37.32066575,127.0836395,주차장,신봉동,4159.533,3,0.2703404820205021,0.29238874264430537,0.18037902935534064,0.3501824923489769,0.5305615217043176
